subject,content
1198회 로또 1등 10명…당첨금 각 29억 5368만원,"1등 당첨번호 26, 30, 33, 38, 39, 41보너스 번호는 '21'…2등 당첨자 78명[이데일리 마켓in 김연서 기자] 제1198회 로또복권 추첨에서 1등 당첨자가 10명 나왔다. 당첨금은 한 사람당 29억 5368만원이다.



로또복권 운영사 동행복권은 15일 제1198 로또 당첨번호는 26, 30, 33, 38, 39, 41이며, 2등 보너스 번호는 21이라고 밝혔다.6개 번호를 모두 맞춘 1등 당첨자는 10명으로, 각각 29억 5368만원을 받는다. 10명 전체 당첨금액은 총 판매금액의 24.6%다. 3억원 이상의 당첨금에는 33%의 세금이 과세된다. 1등 당첨자의 세금은 9억 7471만원이며, 세금을 제한 실수령액은 19억 7897만원이다.1등 번호 중 5개 번호와 보너스 번호를 맞춘 2등은 78명으로, 각각 6311만원을 받게 된다. 78명 전체 당첨금액은 총 판매금액의 4.1%다. 3억원 이하의 당첨금에는 22%의 세금이 과세된다. 2등 당첨자의 세금은 1388만원으로 세금을 제한 실수령액은 4922만원이다.5개 번호를 맞춘 3등은 3110명으로, 각각 158만원을 받는다. 3110명 전체 당첨금액은 총 판매금액의 4.1%다. 4개 번호를 맞춘 4등은 15만5228명으로, 각각 5만원을 받는다."
"""원전 없인 AI 대도약 불가능"" 주목받는 소형원자로 K-SMR","【 앵커멘트 】  인공지능 AI는 천문학적인 양의 데이터를 활용하기 때문에 단시간에 매우 많은 전력을 필요로 하죠.  그래서 이를 뒷받침할 미래 에너지원으로, 소형모듈원자로 SMR이 주목받고 있습니다.  우리나라 역시 SMR 설계·개발에 박차를 가하고 있는데, K-SMR에 대한 세계인들의 반응을 이혁근 기자가 취재했습니다.【 기자 】  프랑스 파리에서 열린 세계 최대 규모 원자력 전시회.  우리나라가 개발 중인 소형모듈원자로, SMR 모형이 눈에 띕니다.  출력은 대형 원전의 최대 3분의 1 정도지만, 크기가 100분의 1 밖에 안 됩니다.  크기가 작아 설치가 용이하고, 대량으로 원자로를 만들 수 있습니다.  전원이 끊겨도 자연 순환으로 냉각이 유지돼 안전성도 높습니다.▶ 인터뷰 : 이동훈 / 한국수력원자력 해외SMR사업부 차장- ""대형 원전에 비해서 안정성을 크게 향상시켰고 이산화탄소 배출량이 상당히 신재생에너지보다 적기 때문에 친환경 에너지로서의….""  그런데 다른 친환경 에너지와 달리 날씨에 상관없이 안정적인 발전이 가능해 SMR 시장 규모는 갈수록 커질 전망입니다.  우리는 도시 곳곳에 SMR을 설치하는 미래도시 계획을 공개했는데, 세계인의 관심을 끌었습니다.▶ 인터뷰 : 루도비카 / 이탈리아인 관람객- ""(SMR이) 신재생에너지와 함께 전력 수요에 맞춰 도시에 유연하게 전력을 공급할 수 있다는 점이 인상깊습니다.""  SMR 4기를 묶어서 생산량을 680MW까지 끌어올리면 수출도 노려볼 수 있습니다.▶ 인터뷰 : 권용세 / 혁신형SMR기술개발사업단 책임연구원- ""미주나 유럽 대륙에 앞으로 폐로 처분해야 하는 화력발전소 출력이 대부분 600, 700, 800MW기 때문에 그것들을 대체하는 용도로….""▶ 스탠딩 : 이혁근 / 기자 (프랑스 파리)- ""우리나라는 국제무대에서 호평을 받은 SMR 설계를 바탕으로 오는 2030년대에 본격적인 생산에 나선다는 계획입니다. 파리 세계원자력전시회장에서 MBN뉴스 이혁근입니다. ""   영상취재 : 김준호 VJ  영상편집 : 박찬규  그래픽 : 전성현"
"""자유다!"" 수능 끝난 수험생…기업들은 ""55만 고객 잡아라""","【 앵커멘트 】  이틀 전 대학수학능력시험이 있었죠.  오늘은 여러 대학이 수시 시험을 치르기도 했는데요.  기업들은 시험을 마친 수험생들을 잠재적인 고객으로 끌어들이기 위해 할인행사 등 다양한 이벤트들을 펼치며 고군분투하고 있습니다.  신용수 기자입니다.【 기자 】  고3 수험생 김태현 군은 대학 수시 시험을 치른 뒤 가족과 함께 패밀리 레스토랑을 찾았습니다.  수험표를 찍은 사진을 제시하자 먹음직스러운 감자튀김이 서비스로 나옵니다.  수험생 이벤트를 통해 무료로 받은 겁니다. ▶ 인터뷰 : 김태현 / 부산 사하구- ""일단 수능 끝나서 굉장히 후련하고요. 수험생 할인도 받으니까 더욱더 기분이 좋아진 것 같습니다.""  또 다른 수험생도 수시 시험을 마친 뒤 가족과 함께 백화점을 찾았습니다.  이곳은 수험표를 제시한 수험생들에게 의류 할인 혜택을 제공하고 있습니다.▶ 인터뷰 : 김채니 / 서울 광진구- ""오늘 논술시험을 봐서 언니가 옷 사준다기에 왔어요. 그냥 화장품이랑 간단하게 언니가 패딩 필요하지 않느냐 그래서….""▶ 스탠딩 : 신용수 / 기자- ""이번 수능은 최근 7년간 가장 많은 55만 명의 수험생이 시험을 치렀습니다. 기업 입장에서는 50만 명 이상의 예비 고객을 한 번에 확보할 기회인 겁니다.""  카페·뷰티·통신사 등도 사은품을 증정하거나 할인 혜택을 제공하는 등 수험생 대상 행사에 돌입했습니다.▶ 인터뷰(☎) : 서용구 / 숙명여대 경영학부 교수- ""최초 상기율이 가장 높은 브랜드가 제일 많이 팔리게 돼 있기 때문에, 하얀색 메모리에 가장 먼저 심어지는 그런 브랜드가 되기 위해서….""  불경기 속 예비 고객 선점을 위한 기업들의 고군분투가 이어지고 있습니다.  MBN뉴스 신용수입니다.영상취재 : 백성운 VJ  영상편집 : 최형찬  그래픽 : 김수빈"
북한군 '러시아 지뢰 제거' 투입…인공기 뺨대고 김정은 찬양,"【 앵커멘트 】  북한군이 러시아 전선에서 지뢰 제거 작업에 투입된 영상이 처음 공개됐습니다.  작전에 앞서 인공기에 뺨을 대고, 김정은을 찬양하는 모습이 포착됐습니다.  러시아가 공개한 건데, 북한의 추가 파병을 위한 움직임으로 해석됩니다.  국영호 기자의 보도입니다.【 기자 】  무장을 마친 북한군이 힘차게 구호를 외치더니 인공기에 얼굴을 갖다 댑니다.  이동 차량 안에서는 김정은을 찬양하는 노래를 목청 높여 부릅니다.▶ 인터뷰 : 북한군들- ""김정은, 위대하신 영도자.""  북한군이 러시아군과 함께 쿠르스크 지역 지뢰 제거 작전에 투입된 모습이 공개됐습니다.  지뢰 제거와 관련한 러시아어를 익힌 북한군은 최신 장비 교육까지 받아 임무를 수행하고 있다고 러시아군은 밝혔습니다.▶ 인터뷰 : 레스니크 / 러시아군 공병대대장- ""지뢰 제거 작업 중에 발견돼 터진 겁니다. 이게 바로 (북한군과의) 팀워크입니다.""  북한군은 또한, 작업 중 부상 당한 동료를 끌어내고, 날아다니며 피해를 입히는 드론 격추 등 다양한 훈련을 받았습니다.  러시아가 이번 영상을 공개한 건, 북한과 지난해 합의한 추가 파병과 관련한 것으로 풀이됩니다.▶ 인터뷰 : 조한범 / 통일연구원 석좌연구위원- ""북한의 구미에 맞는 영상을 공개함으로써 북러 밀착을 과시하고, 추가 파병을 정당화하는 그런 의미가 있다고 봐야죠.""  이런 가운데, 러시아는 자폭형 드론을 생산하기 위해 올 연말까지 북한 노동자 1만 2천명을 유치할 계획이라고 우크라이나 측은 밝혔습니다.  MBN뉴스 국영호입니다.   영상편집 : 송지영"
오늘도 종묘 찾은 민주당…당정 모두 '오세훈 때리기' 혈안,"【 앵커멘트 】  정부와 여당은 오세훈 서울시장을 향한 공세 수위를 연일 높이고 있습니다.  어제(14일) 김민석 국무총리가 한강버스 선착장을 점검한 데 이어 오늘(15일)은 민주당 지도부가 종묘를 방문해 서울시 정책을 비판했는데, 내년 지방선거를 앞둔 포석이란 분석입니다.  김태형 기자가 보도합니다.【 기자 】  민주당 전현희 의원과 당 문화예술특위 소속 배우 이기영 씨가 종묘를 찾았습니다.  종묘 인근에 고층건물을 세우는 서울시 개발 계획을 비판하기 위해섭니다.  오늘은 특히 유네스코가 세계유산영향평가를 해달라고 보낸 공문에 서울시가 영어가 아닌 국문으로 회신해달라고 한 점을 꼬집었습니다.▶ 전현희 / 더불어민주당 의원- ""서울시에는 영어 하는 공무원이 없다는 겁니까? 사실상 문화유산 평가를 받지 않으려는 꼼수에 불과하다….""▶ 김태형 / 기자- ""민주당은 이곳 세운4구역에 초고층 빌딩이 들어서면 종묘의 세계유산 등재가 취소될 수 있다는 점을 연일 지적하고 있습니다.""  어제는 김민석 국무총리가 역시 오 시장이 공을 들인 한강버스 선착장을 방문해 안전 점검에 나섰습니다.▶ 김민석 / 국무총리 (어제)- ""배에서의 문제가 됐던 건 어떤 거예요?""  전 의원, 김 총리 모두 내년 서울시장 후보로 거론되는 인물들로, 존재감을 부각하려는 의도로 풀이됩니다.  하지만, 서울시와 국민의힘은 선거를 앞두고 여당이 정쟁을 하고 있다고 맞섰습니다.▶ 인터뷰 : 김병민 / 서울시 정무부시장- ""내년 지방선거를 의식한 듯이 서울시정 발목 잡기에만 매진하는 모습이 정말이지 안타깝습니다. 반대를 위한 반대처럼 정쟁에 나서는 모습은 집권당다운 처신이 아니다….""  여권의 서울시 핵심사업에 대한 비판이 대안 없이 이뤄질 경우 오히려 오 시장에 대한 주목도만 높여줄 수 있다는 지적도 나옵니다.  MBN뉴스 김태형입니다.   영상취재 : 김석호 기자  영상편집 : 이우주  그래픽 : 김정연"
"디즈니, 실적 부진·플랫폼 갈등에 주가 약세…“중장기 성장 동력은 여전”","[주목!e해외주식] 美 월트 디즈니실적 부진·유튜브TV 갈등 속 실적 발표 후 주가↓스트리밍·테마파크 사업은 탄탄…내년 낙관적 전망“당분간 주가 모멘텀 제한적…중장기 강력한 수익 창출”[이데일리 박순엽 기자] 월트 디즈니가 기대에 못 미친 실적과 플랫폼사와의 갈등 우려로 주가가 약세를 나타내고 있다. 다만, 스트리밍과 테마파크 등 핵심 사업은 탄탄한 성장 흐름을 이어가고 있어 증권가는 “단기 조정이 불가피하나 중장기 전략은 유효하다”고 진단했다. 15일 엠피닥터에 따르면 디즈니는 지난 14일(현지시간) 미국 뉴욕 증권 거래소에서 전 거래일보다 1.81달러(1.68%) 내린 105.80달러에 거래를 마쳤다. 실적 발표 이후 2거래일 연속 내림세를 이어가며 최근 한 달간 유지하던 110달러선 아래로 밀려났다. 



뉴욕 증권 거래소 스크린에 띄워진 디즈니 로고 (사진=AP 연합뉴스)앞서 디즈니는 13일 2025회계연도 4분기(7~9월) 실적을 발표했다. 조정 주당 순이익(EPS)은 1.11달러로 시장 전망치를 웃돌았지만, 매출액(224억 6000만달러)와 영업이익(34억 8000만달러)은 TV 네트워크와 영화 부문의 부진으로 소폭 역성장을 기록하며 기대에 못 미쳤다. 특히 지난해 동기 ‘데드풀과 울버린’, ‘인사이드 아웃2’ 등 흥행작의 기저 부담도 있었던 데다 신작 성과도 부진하면서 콘텐츠 매출액이 26% 급감했고, 엔터테인먼트 부문 영업이익도 35% 줄었다. 이에 실적 발표 직후 주가는 7.75% 하락했다.유튜브TV(구글)와의 콘텐츠 공급료 갈등도 부담 요인이다. ESPN·ABC 등 디즈니 계열 채널 20여개는 10월 말부터 유튜브TV에서 송출이 중단된 상황으로, 양측은 수수료 인상을 두고 대치하면서 분쟁 장기화 우려가 커지고 있다. 최민하 삼성증권 연구원은 “디즈니는 콘텐츠 가치에 대한 적정한 반영을 요구하며 사용료 인상을 주장하고 있고, 구글은 이를 수용하면 유튜브TV 구독료 인상과 이용자의 콘텐츠 선택권 축소로 이어질 수 있다며 맞서고 있다”며 “양측의 팽팽한 줄다리기 국면이 지속하며 분쟁 장기화 우려가 확대되고 있고, 이에 따른 실적 부담도 예상된다”고 설명했다. 반면, 스트리밍과 테마파크 사업은 탄탄한 흐름을 이어갔다. 디즈니플러스·훌루 등 스트리밍 사업(DTC) 부문은 전 분기 대비 1240만명의 가입자가 순증하며 성장세가 뚜렷했고, 영업이익도 전년 동기 대비 39% 늘었다. 테마파크·크루즈를 포함한 익스피리언스 부문은 크루즈 사업 호조와 방문객 증가, 인당 지출액 상승 등에 힘입어 영업이익이 전년 동기 대비 13.2% 증가했다. 디즈니는 내년(2026년) 실적 전망으로 조정 EPS의 두자릿수 증가를 제시하며 낙관적 가이던스를 유지했다. 자사주 매입 규모를 올해 대비 두 배로 늘리겠다고 밝히는 등 주주환원 정책도 강화했다. 스트리밍 부문 영업이익률 목표는 10%로 제시했다. 최 연구원은 “플랫폼사와의 갈등, 상저하고 실적 구도 등을 고려하면 당분간 주가 모멘텀은 제한적일 수 있다”며 “스트리밍 부문의 구독료 인상 효과와 테마파크 확장 전략을 고려하면 중장기적으로 더욱 강력한 수익 창출로 이어질 수 있다”고 말했다."
외국인들 돈 냄새 맡았나…AI 대신 사들이더니 '주가 불기둥',"K바이오 투자법



사진=게티이미지뱅크국내 증시에서 제약·바이오주가 차기 주도주로 떠오르고 있다. 인공지능(AI) 등 기존 주도 업종의 상승세가 주춤한 가운데 저가 매수 기회로 판단한 자금이 흘러든 덕분이다. 금리 인하 기대 속 기술이전 계약 체결 소식이 주가 상승을 뒷받침하고 있다는 게 증권가의 분석이다. ○차기 주도주로 떠오른 ‘바스닥’(바이오+코스닥) 16일 한국거래소에 따르면 주요 제약·바이오 기업 66개로 구성돼 있는 ‘KRX 헬스케어’는 이달 들어 12.11% 상승했다. ‘KRX 300 헬스케어’ 지수도 이 기간 11.73% 올랐다. 전체 34개 KRX 테마지수 중 수익률 상위 1, 2위다. 같은 기간 코스피지수(-1.87%)와 코스닥지수(0.79%)가 부진한 것을 감안하면 상대적으로 높은 상승률을 기록했다. 주도 테마였던 KRX 반도체 지수는 이달 4% 넘게 급락했다. 개별 종목 중에선 에이비엘바이오의 상승세가 독보적이다. 이 회사는 지난 14일 글로벌 제약사 일라이 릴리에 최대 3조8000억원대 규모의 기술 수출에 성공한 데 이어 220억원(1500만 달러) 규모의 지분 투자 계약을 체결했다. 주가도 지난 11일 이후 3거래일 연속 오르면서 78.6% 급등했다. 주가 상승 속도가 워낙 빠르다 보니 증권가 목표주가 상향이 주가를 따라가지 못할 정도다. 증권가에선 쫓기듯 목표주가를 올리는 형국이다. 지난 14일 교보증권이 에이비엘바이오 목표주가를 기존 12만원에서 19만원으로 올렸다. 이달 들어 메리츠증권(목표주가 12만원→18만원) 다올투자증권(12만원→16만원) 키움증권(10만원→18만원) 등 4개 증권사가 목표주가를 올렸다. 상향에도 불구하고 이들 증권사가 제시한 평균 목표가(17만5000원)는 이미 현 주가(17만4300원)에 근접한 상황이다.  비만치료체 테마에서 임상 성공 기대가 큰 종목을 중심으로 상승세가 두드러질 것이란 전망도 나온다. 한미약품이 개발 중인 국산 글루카곤유사펩타이드(GLP)-1 계열 비만 신약 후보물질 ‘에페글레나타이드’의 기대감이 크다는 게 증권업계 분석이다. 지난 4일 미국 식품의약국(FDA)에서 자사 비만 신약의 임상 1상 진입을 위한 임상시험계획(IND)을 승인받았다. 지난달에는 비만 신약 후보물질 에페글레나타이드의 3상 중간 분석(톱라인) 결과 투여 40주차에 평균 9.75% 체중 감량률을 확인했다는 임상 데이터를 공개했다. 향후 임상 결과에 따라 글로벌 비만약 시장의 ‘게임 체인저’가 될 것이라는 전망도 나온다.한승연 NH투자증권 연구원은 “한미약품은 체중 감소와 근육량 증가 효과가 함께 있는 비만 신약 임상에 본격적으로 나선다”면서 “임상 결과에 따라 노보노디스크 ‘위고비’, 일라이 릴리 ‘마운자로’에 이어 세 번째로 전 세계 비만치료제 시장에 진입할 것”이라고 내다봤다.  ○과거 열풍 때와 다른 바이오株 옥석가리기전문가들은 과거 제약·바이오주 열풍과 최근 상승 추세의 가장 큰 차이점으로 기술 수출과 임상 등 눈에 보이는 성과를 꼽고 있다. 최근 바이오 섹터에서는 뚜렷한 실적이나 명확한 신약 개발 호재 없이 오르던 이른바 ‘묻지마’ 상승을 찾아보기 어렵다고 분석한다. 과거 신라젠 등이 주도하던 바이오 시장은 제품 매출이 미미하거나 발생하지 않아 논리적인 실적 전망이 어려웠다는 게 증권가의 설명이다. 최근에는 기술 수출을 통한 계약금 수령 등 실적 개선이나 임상시험 성공 등 명확한 재료가 중요하다는 뜻이다.정이수 IBK투자증권 연구원은 “에이비엘바이오의 기술 수출 등 올해 국내 제약·바이오 업계의 연간 기술 수출 규모는 약 17조4000억원으로 역대 최대치를 기록했다”며 “투자심리가 개선되며 바이오 섹터의 긍정적인 흐름이 이어질 전망”이라고 말했다. 기준금리 인하와 더불어 ‘키 맞추기’ 장세가 바이오 종목에 호재가 될 것이란 분석도 나온다. 대규모 자금이 필요한 제약·바이오 기업들은 금리가 낮아지면서 자금 조달이 유리해진다. 인공지능(AI) 등 단기간 가파르게 오른 주도주가 숨 고르기에 들어가면서 상대적으로 덜 오른 바이오 섹터에 ‘머니 무브’ 현상이 가속화할 것이란 전망도 제기된다.실제로 외국인 투자자와 기관 투자가들이 한동안 소외됐던 바이오주로 눈을 돌리고 있다. 이달 외국인 순매수 1위와 4위엔 셀트리온(3783억원 순매수)과 알테오젠(1183억원)이 각각 이름을 올렸다. 기관도 알테오젠과 셀트리온, 에이비엘바이오 등을 집중적으로 사들인 것으로 나타났다.  ○ETF로 리스크 낮추는 전략 활용 증권가에서도 에이비엘바이오와 한미약품, 리가켐바이오를 주목하고 있다. 이달 들어 유진투자증권과 IBK투자증권 등 6곳이 한미약품의 목표주가를 상향 조정했다. 이들 증권사의 평균 목표주가는 53만8000원이다. 지난 14일 한미약품 종가보다 14%가량 상승 여력이 있다는 진단이다. 리가켐바이오의 평균 목표주가도 기존보다 15% 상향된 19만5000원으로 나타났다.이달미 상상인증권 연구원은 “기술 수출 소식과 금리 인하 시기가 맞물리면서 바이오 섹터에 자금이 몰리고 있다”면서 “내년 상반기까지 주요 임상 결과나 데이터 발표가 잇따를 것으로 예상되는 만큼 바이오 섹터의 투자심리도 더욱 개선될 것”이라고 말했다. 리가켐바이오는 항체 파트너사 넥스트큐어와 공동개발 중인 항체·약물접합체 ‘LNCB74’의 글로벌 임상 1상에 대한 초기 유효성 입증 데이터를 내년 상반기 중 공개할 예정이다. 바이오 섹터에 투자할 때 상장지수펀드(ETF)와 같은 간접 투자 상품을 활용하라는 조언도 나온다. 바이오 섹터 특성상 연구 성과를 제대로 알기 어려운 데다 임상 실패 등 개별 종목의 리스크가 크기 때문이다. 코스닥시장 바이오 종목 전반에 투자하고 싶으면 ‘TIGER 코스닥150바이오테크’을 주목할 필요가 있다. 이 ETF는 코스닥150 구성 종목 가운데 바이오 테마에만 투자한다. 이달 들어 11% 넘는 수익률을 기록 중이다. 같은 기간 바이오 의약품과 의료 기자재 업체 등 60여 개 종목에 분산투자하는 삼성자산운용의 ‘KODEX 헬스케어 ETF’도 9% 넘게 오르면서 투자자의 관심이 몰리고 있다는 분석이다.류은혁 기자"
"“예전에 말렸던 아내, 지금은 해보자고 한다”…증시 활황에 불붙은 이 시장","코스닥 IPO 시장 공모주 잇단 흥행제도 도입·코스피 랠리에 시장 활황조단위 대어급 기업도 상장준비 나서



 [픽사베이]“예전에는 말렸던 아내가 지금은 해보자고 하네요.”증시가 살아나면서 기업공개(IPO) 시장에도 훈풍이 불고 있다. 최근 상장한 공모주들이 잇달아 초반 흥행에 성공하면서 투자심리가 뚜렷하게 개선되는 모습이다.15일 증권가에 따르면 전날 코스닥 시장에 상장한 세나테크놀로지는 공모가(5만6800원) 대비 2만3400원(41.20%) 오른 8만200원에 거래를 마쳤다.12만2600원에 거래를 시작한 세나테크놀로지는 장중 공모가 대비 3배 넘게 상승한 17만6400원까지 치솟기도 했다. 앞서 진행된 기관 투자자 대상 수요예측에선 국내외 기관 2158곳이 참여해 976.9대 1의 경쟁률을 기록하며 흥행을 예고했다.세나테크놀로지에 앞서 지난 3일 코스닥 시장에 입성한 노타를 시작으로 이노테크, 큐리오시스 등도 상장 첫날부터 급등하며 강한 수요를 입증했다. 특히 이노테크와 큐리오시스는 나란히 상한가를 기록했다.이달 IPO 일정도 바쁘게 이어진다. 다음주에는 친환경 뷰티 브랜드 아로마티카와 바이오 기업 에임드바이오가 일반투자자 대상 청약을 진행한다.아로마티카는 오는 18~19일 일반 청약을 거쳐 27일 코스닥 시장에 상장할 예정이다. 에임드바이오는 지난 2018년 삼성서울병원에서 분사해 설립된 기업으로, 일반 청약은 오는 21일과 24일 받는다.올 하반기 IPO 시장은 ‘의무보유확약 우선배정제도’ 도입으로 한때 관망세가 짙었다. 지난 7월부터 시행된 이 제도 개편안은 공모주 배정 물량 중 40% 이상을 확약 기관에 우선 배정하는 것이 핵심이다. 제도 시행 후 상장 절차를 밟은 에스투더블유와 명인제약이 성공적인 IPO를 진행하면서 시장 분위기도 점차 점차 회복세에 접어들었다.여기에 코스피가 4000선을 넘어 랠리를 이어가는 점도 IPO 시장에 활력을 불어넣은 것으로 풀이된다.이같은 분위기에 조단위 대어급 기업들도 앞다퉈 상장 준비에 나서고 있다. 세 번째 IPO 도전에 나서는 케이뱅크는 지난 10일 한국거래소에 코스피 상장예비심사를 청구했다. 해당 일정이 차질없이 진행되면 내년 상반기 상장이 예상된다.LS그룹의 미국 계열사인 에식스솔루션즈도 지난 7일 한국거래소에 코스피 상장을 위한 예비심사를 청구했다. 다만 거래소는 에식스솔루션즈를 중복상장 사례로 보고 심사를 엄격하게 진행할 계획이다.국내 패션 플랫폼 최초로 IPO를 준비 중인 무신사는 주관사 선정을 앞두고 있다. 회사는 기업가치 10조원을 목표로 하고 있으나 일각에서는 몸값이 과도하게 높다는 우려도 나온다."
"""2600% 폭등했던 '이 회사', 한 달 만에 와르르""…서학개미 직격탄","로이터연합뉴스[서울경제] 가상화폐 시장 부진이 한 달 넘게 이어지면서 이른바 ‘코인 쌓기 전략’인 디지털 에셋 트레저리(DAT·Digital Asset Treasury)를 택한 미국 상장사들의 주가가 동반 급락했다. 이들 기업에 투자해 가상화폐에 우회 투자했던 서학개미들의 손실도 커지고 있다.DAT 전략의 대표 기업 스트래티지(MSTR) 주가는 13일(현지시간) 7.15% 떨어진 208.54달러에 마감했다. 13개월 만의 최저치이며, 연초 대비 낙폭도 30%를 넘겼다.DAT는 기업이 비트코인·이더리움 등 가상화폐을 대규모로 사들여 ‘금고 자산’처럼 보유하는 전략이다. 기존의 현금·채권·금 위주의 트레저리를 가상화폐으로 확대한 개념이다. 미국 증시에서는 지난 8월 이후 하나의 투자 트렌드로 자리 잡았다.DAT 도입에 가장 적극적이었던 스트래티지는 한때 주가가 2600% 넘게 폭등한 바 있다. 이 회사는 현재 비트코인 64만1692개를 보유하고 있으며, 이는 전날 시세 기준 약 90조7809억원 규모다.문제는 지난달 10일 ‘트럼프발 대규모 청산 사태’ 이후 시장 분위기가 급변했다는 점이다. 비트코인이 한 달째 약세를 이어가자 DAT 상장사 주가도 같은 폭으로 하락세를 타기 시작했다. 스트래티지가 7% 넘게 급락한 날도 비트코인이 10만달러 지지선을 내주고 5개월 만에 최저치를 기록한 시점이었다.주가 매력도를 보여주는 지표 mNAV(보유 가상화폐 대비 시가총액)도 1 아래로 떨어졌다. mNAV가 1 이상이면 기업이 가진 코인 가치보다 주가 가치가 더 높다는 의미이고, 1 미만이면 ‘보유 코인 가치만큼도 시장이 인정하지 않는다’는 뜻이다.전날 기준 스트래티지 mNAV는 0.971이었다. 마라홀딩스(0.891), 21캐피탈(0.966)도 모두 1 미만을 기록했다. 이더리움 기반 DAT 상장사 비트마인(0.910), 샤프링크 게이밍(0.790)도 마찬가지다. 이날 이더리움은 10% 가까이 급락했다."
"“이 종목 요즘 잘나가네”…고공 랠리 ‘제약·바이오주’, 대세주 등극?","코스닥서 거래대금 비중 가장 높아비만치료제·기술수출 모멘텀 강화관세 리스크 완화에 투자심리 회복



 [연합뉴스]최근 제약·바이오 관련주가 리딩주로 급부상하고 있다.15일 한국거래소에 따르면 지난 14일 주간거래 종가 기준, 코스닥 제조업 지수 중 거래대금 비중이 가장 높은 것은 제약(15.37%)이다.코스닥 제약지수의 지난 14일 거래대금은 162조6187억원으로 전년 동기(8199억원) 대비 98.33% 증가했다.이는 최근 미국발 의약품 관세 리스크가 상당 부분 완화하고 뉴욕 증시에서 일라이 릴리 등 제약·바이오 종목의 주가가 우상향하는 가운데, 증시 활황세가 맞물린 영향으로 풀이된다.통상 신약 개발은 후보물질 발굴 및 전임상, 임상시험(1~3상), 신약 허가 신청, 판매 승인 및 출시 단계 등으로 진행된다.사업 성과 및 경영 실적에 따라 주가가 움직이는 여타 산업계 종목들과 달리, 제약·바이오주는 중간단계인 임상단계에서부터 주가가 크게 요동치는 편이다.한미약품은 지난 6일 미국 식품의약품청(FDA)으로부터 비만 치료제 ‘HM17321’의 임상 1상 시험 계획을 승인받았다고 밝힌 후 주가가 급등한 바 있다.일동제약 역시 경우 지난 9월 비만·당뇨 등을 겨냥한 대사성 질환 신약 후보 물질의 임상 1상 연구 결과, 4주 투약 시 최대 13.8%의 체중 감량 효능이 나타났다고 밝히자 주가가 뛰었다.신약 개발의 최종 성공률은 통상 10% 미만으로 매우 낮다. 이 때문에 글로벌 제약사는 매 단계 검증 후 투자에 나선다. 초기 계약금을 수령하고 임상단계마다 마일스톤을 주고 신약 출시 후에는 일정 비율의 로열티를 받는 구조로 돼 있다. ‘총 N조원의 기술수출’은 계약금부터 로열티까지 잠재적으로 수령할 수 있는 금액을 합산한 수치다. 임상에 실패하면 실적과 주가가 타격을 받을 수 있다.



 [연합뉴스]최근 증권가에선 제약·바이오주에 대한 핑크빛 전망을 내놓고 있다. 에이비엘바이오의 대형 계약으로 제약 업종에 대한 투자 심리가 개선된 데다, 내년에도 비만 치료제에 대한 관심이 지속하는 가운데 국내 기업들의 성과도 기대할 수 있기 때문이다.지난 12일 에이비엘바이오는 일라이 릴리와 신약 개발을 위한 ‘그랩바디’ 플랫폼 기술이전 및 공동 연구개발 계약을 체결했다고 밝혔다. 에이비엘바이오는 계약금 4000만 달러(약 585억원)를 수령하는 한편, 개발·허가 및 상업화 마일스톤 등으로 최대 25억6200만 달러(약 3조7천487억원)를 수령할 수 있는 자격을 가지고 제품 순 매출에 따른 단계별 로열티도 지급받을 예정이다.이 외 △코스피 4위 삼성바이오로직스의 삼성바이오로직스·삼성에피스홀딩스로 분할 재상장 △셀트리온 미국 공장 인수 △코스닥 1위 알테오젠 코스피 이전 상장 △점차 가시성이 높아지는 국내 기업들의 글로벌 성과(기술 수출, 글로벌 신약 인허가 및 판매 등) 등도 제약·바이오주의 투자 매력도를 끌어 올리고 있단 평이 나온다.이명선 DB증권 연구원은 “이제는 (제약·바이오 업종에서) 관세, 약가 인하 등에 대한 불확실성이 해소되고 있어 내년부터는 제약·바이오 섹터는 좀 더 주목받을 것으로 생각된다”고 제언했다.이희영 대신증권 연구원은 “글로벌로 금리 인하 사이클 진입, 오리지널 의약품 특허 절벽에 직면한 빅파마들의 M&A(인수·합병) 및 라이선싱 수요 확대 기대로 나스닥 바이오텍 지수는 연일 신고가를 경신하고 있으며, 빅파마 중심의 S&P 헬스케어 지수도 10월 이후 약가 및 관세 불확실성 완화로 반등에 성공했다”고 말했다."
